label,target,horizon,model,n_train,n_test,n_net_features,mae_base,rmse_base,mae_net,rmse_net,delta_mae,openmeteo_mae,openmeteo_rmse,skill_base,skill_net,delta_mae_mean,delta_mae_lo,delta_mae_hi,p_improves
n=10_band25,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.009018287338765023,0.02068189492519346,0.018246740207422996,0.0,0.0,,,0.01835439469189353,-0.0014045634339200643,0.05399578383264472,0.928
n=10_band25,rain_mm_1h,3,linear,574,144,47,0.6241907764114147,0.8135147169197796,0.7246078170151926,0.9438593330802575,-0.10041704060377787,0.0,0.0,,,-0.10009443061143933,-0.2005693523419423,-0.010735425118798454,0.01
n=10_band25,rain_mm_1h,3,xgboost,574,144,47,0.007254199266955968,0.011185314078883,0.005922646600892121,0.011411743728545951,0.001331552666063847,0.0,0.0,,,0.001347145146370571,-0.0007347684748108603,0.0034394534695669178,0.906
n=10_band25,rain_mm_1h,24,linear,574,144,47,0.47281708044732984,0.5911886263526834,0.5765739204700846,0.8505174783305182,-0.10375684002275476,0.0,0.0,,,-0.1025654658244452,-0.22246049383931338,0.00998834287475893,0.04
n=10_band25,rain_mm_1h,24,xgboost,574,144,47,0.02948898159825654,0.08365699619553392,0.1346423999053109,0.2762430197286756,-0.10515341830705437,0.0,0.0,,,-0.10549335486451572,-0.13857751813614338,-0.07391619868332733,0.0
n=20_band25,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.52951899384899,0.7222659425728266,0.1202729064853113,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.4409543392251437,0.11940026073151656,0.054992077206177915,0.1774231561229238,1.0
n=20_band25,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.671676211543117,1.06105404554312,0.010581732624589946,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.17872680262965956,0.010042369763738332,-0.06547259159971147,0.07763512861874587,0.628
n=20_band25,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.9429191054281206,1.1598777110979608,0.16193366728155334,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.10223566805739814,0.16283895275967025,0.04304835042022783,0.27004678234878726,0.998
n=20_band25,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.011088863909393,1.3841643767532785,-0.02982092339215725,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.07136588202762972,-0.03123053157670771,-0.12419192504523566,0.05580058243202869,0.256
n=20_band25,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.3227645381360855,1.5097070469688807,-0.18079177006259828,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.1685379635134523,-0.18075185792479107,-0.2964135983612094,-0.06884964101195569,0.002
n=20_band25,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.148253545688855,1.4952635847321174,-0.14825936320137745,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.15735848734811464,-0.150550120069571,-0.22868763489855534,-0.0733281424456386,0.0
n=20_band25,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.6400259940127033,0.97948188499614,-0.30977058679885083,0.0,0.0,,,-0.3106998996055222,-0.4557921297589945,-0.17868812733562284,0.0
n=20_band25,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.011851703192304639,0.03345068649379056,0.01541332435388338,0.0,0.0,,,0.015499209744095018,-0.004617657615947085,0.04910804559798028,0.852
n=20_band25,rain_mm_1h,3,linear,574,144,47,0.6241907764114147,0.8135147169197796,0.7547556574987612,0.984033697205054,-0.13056488108734643,0.0,0.0,,,-0.12912032812161003,-0.23077720846785463,-0.04653661062220337,0.002
n=20_band25,rain_mm_1h,3,xgboost,574,144,47,0.007254199266955968,0.011185314078883,0.01101738210895241,0.029552290350685705,-0.0037631828419964425,0.0,0.0,,,-0.0036927776341379084,-0.009190963606720793,0.0003076652412498029,0.034
n=20_band25,rain_mm_1h,24,linear,574,144,47,0.47281708044732984,0.5911886263526834,0.5821272776127597,0.873627236617722,-0.10931019716542989,0.0,0.0,,,-0.10745810022843277,-0.23024023829992574,0.003099168101611856,0.032
n=20_band25,rain_mm_1h,24,xgboost,574,144,47,0.02948898159825654,0.08365699619553392,0.22657819659960093,0.527917571021375,-0.1970892150013444,0.0,0.0,,,-0.19786309544897188,-0.27691755362636994,-0.12335171924213581,0.0
band_0-2km,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.6342468947362406,0.8095424909244289,0.015545005598060713,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.37340086235820635,0.013855048790088023,-0.04778959505218619,0.07271879292999724,0.676
band_0-2km,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.7073737533658602,1.1038601000210195,-0.02511580919815326,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.14559421586318766,-0.025226860334733973,-0.05976857267530624,0.009174444883107797,0.066
band_0-2km,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.952753062681772,1.1962233525561494,0.152099710027902,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.07410354670483921,0.15250632466763853,0.028917020114738283,0.2759508078333036,0.992
